0,770,0
25,770,0
50,770,0
75,770,0
100,770,0
125,770,0
150,770,0
175,770,0
200,770,0
225,770,0
250,770,0
275,770,0
300,770,0
325,770,0
350,770,0
375,770,0
400,770,0
425,770,0
450,770,0
475,770,0
500,770,0
525,770,0
550,770,0
575,770,0
600,770,0
625,770,0
650,770,0
675,770,0
700,770,0
725,770,0
750,770,0
775,770,0
800,770,0
825,770,0
850,770,0
875,770,0
900,770,0
925,770,0
950,770,0
975,770,0
1000,770,0
1025,770,0
0,50,-90
0,75,-90
0,100,-90
0,125,-90
0,150,-90
0,175,-90
0,200,-90
0,225,-90
0,250,-90
0,275,-90
0,300,-90
0,325,-90
0,350,-90
0,375,-90
0,400,-90
0,425,-90
0,450,-90
0,475,-90
0,500,-90
0,525,-90
0,550,-90
0,575,-90
0,600,-90
0,625,-90
0,650,-90
0,675,-90
0,700,-90
0,725,-90
0,750,-90
0,775,-90
0,800,-90
0,825,-90
0,850,-90
0,875,-90
1024,50,90
1024,75,90
1024,100,90
1024,125,90
1024,150,90
1024,175,90
1024,200,90
1024,225,90
1024,250,90
1024,275,90
1024,300,90
1024,325,90
1024,350,90
1024,375,90
1024,400,90
1024,425,90
1024,450,90
1024,475,90
1024,500,90
1024,525,90
1024,550,90
1024,575,90
1024,600,90
1024,625,90
1024,650,90
1024,675,90
1024,700,90
1024,725,90
1024,750,90
1024,775,90
1024,800,90
1024,825,90
1024,850,90
1024,875,90
0,10,0
25,10,0
50,10,0
75,10,0
100,10,0
125,10,0
150,10,0
175,10,0
200,10,0
225,10,0
250,10,0
275,10,0
300,10,0
325,10,0
350,10,0
375,10,0
400,10,0
425,10,0
450,10,0
475,10,0
500,10,0
525,10,0
550,10,0
575,10,0
600,10,0
625,10,0
650,10,0
675,10,0
700,10,0
725,10,0
750,10,0
775,10,0
800,10,0
825,10,0
850,10,0
875,10,0
900,10,0
925,10,0
950,10,0
975,10,0
1000,10,0
1025,10,0
